"Gene","Antibiotic","n_with_gene","n_without_gene","Median_With","Median_Without","Fold_Change","p_value","Significant","Effect_Size"
"BlaCTXM-15","CAZ",5,8,32,64,0.5,0.129333176207536,"","Moderate decrease"
"BlaCTXM-15","MER",9,26,0.12,2,0.06,0.602978197291471,"","Large decrease"
"BlaCTXM-15","IMI",2,14,1.25,1,1.25,0.100448206471164,"","Small increase"
"bla_TEM-1","FDC",3,6,4,2,2,0.0768812049087053,"†","Moderate increase"
"bla_TEM-1","MER",3,32,12,2,6,0.452117327857815,"","Large increase"
"bla_TEM-1","ATM",3,9,16,4,4,0.38915744484275,"","Large increase"
"bla_TEM-1","TGC",3,8,5,1,5,0.587793456021905,"","Large increase"
"bla_TEM-1","ERV",3,4,0.5,0.31,1.61290322580645,0.558452157283156,"","Small increase"
"bla_TEM-1","CST",3,8,5,4,1.25,0.745013197241334,"","Small increase"
"bla_TEM-1","AMK",3,7,4,16,0.25,0.33409893808552,"","Large decrease"
"bla_TEM-1","TOB",3,4,4,2.25,1.77777777777778,0.263552477282973,"","Small increase"
"blaTEM-1A","FDC",2,7,2,4,0.5,0.440400698139003,"","Moderate decrease"
"blaTEM-1A","MER",5,30,4,1.5,2.66666666666667,0.162862859701877,"","Moderate increase"
"blaTEM-1A","ATM",2,10,4,16,0.25,0.436442505849249,"","Large decrease"
"blaTEM-1A","TGC",2,9,1,5,0.2,0.900382684331534,"","Large decrease"
"blaTEM-1A","CST",2,9,4,5,0.8,0.900382684331534,"","Small decrease"
"blaTEM-1A","AMK",2,8,16,4,4,0.128127096474782,"","Large increase"
"blaTEM-1A","FOS",2,7,64,16,4,0.115332179268019,"","Large increase"
"blaTEM-1A","GEN",2,2,2,4.5,0.444444444444444,1,"","Moderate decrease"
"blaTEM-1A","SXT",2,2,238,4135.5,0.0575504775722404,1,"","Large decrease"
"blaTEM-1B","FDC",3,6,4,2,2,0.0768812049087053,"†","Moderate increase"
"blaTEM-1B","CAZ",3,10,32,48,0.666666666666667,0.310604264549619,"","Small decrease"
"blaTEM-1B","MER",9,26,0.12,2,0.06,0.602978197291471,"","Large decrease"
"blaTEM-1B","ATM",3,9,16,4,4,0.38915744484275,"","Large increase"
"blaTEM-1B","TGC",3,8,5,1,5,0.587793456021905,"","Large increase"
"blaTEM-1B","ERV",3,4,0.5,0.31,1.61290322580645,0.558452157283156,"","Small increase"
"blaTEM-1B","CST",3,8,5,4,1.25,0.745013197241334,"","Small increase"
"blaTEM-1B","AMK",3,7,4,16,0.25,0.33409893808552,"","Large decrease"
"blaTEM-1B","TOB",3,4,4,2.25,1.77777777777778,0.263552477282973,"","Small increase"
"blaSHV-11","MER",2,33,5,2,2.5,0.561671559532238,"","Moderate increase"
"blaSHV-11","ERT",2,5,17,0.125,136,0.319604069273341,"","Large increase"
"blaSHV-11","IMI",2,14,1.25,1,1.25,0.100448206471164,"","Small increase"
"blaSHV-28","CAZ",5,8,32,64,0.5,0.129333176207536,"","Moderate decrease"
"blaSHV-28","MER",8,27,0.12,2,0.06,0.377659267947733,"","Large decrease"
"blaOXA-1","CAZ",5,8,32,64,0.5,0.129333176207536,"","Moderate decrease"
"blaOXA-1","MER",9,26,0.12,2,0.06,0.602978197291471,"","Large decrease"
"blaOXA-1","IMI",2,14,1.25,1,1.25,0.100448206471164,"","Small increase"
"bla_OXA-9","FDC",3,6,4,2,2,0.0768812049087053,"†","Moderate increase"
"bla_OXA-9","ATM",3,9,16,4,4,0.38915744484275,"","Large increase"
"bla_OXA-9","TGC",3,8,5,1,5,0.587793456021905,"","Large increase"
"bla_OXA-9","ERV",3,4,0.5,0.31,1.61290322580645,0.558452157283156,"","Small increase"
"bla_OXA-9","CST",3,8,5,4,1.25,0.745013197241334,"","Small increase"
"bla_OXA-9","AMK",3,7,4,16,0.25,0.33409893808552,"","Large decrease"
"bla_OXA-9","TOB",3,4,4,2.25,1.77777777777778,0.263552477282973,"","Small increase"
"bla_OXA-18","FDC",2,7,6,2,3,0.122822648101393,"","Moderate increase"
"bla_OXA-18","MER",2,33,12,2,6,0.0755100262304501,"†","Large increase"
"bla_OXA-18","ATM",2,10,16,10,1.6,0.911478752943834,"","Small increase"
"bla_OXA-18","TGC",2,9,5,1,5,0.168525451018462,"","Large increase"
"bla_OXA-18","ERV",2,5,0.375,0.5,0.75,1,"","Small decrease"
"bla_OXA-18","CST",2,9,5,4,1.25,0.168525451018462,"","Small increase"
"bla_OXA-18","AMK",2,8,3,10,0.3,0.332921608065566,"","Moderate decrease"
